Move,RPRICE,MPRICE
-0.385390762,-0.102419582,0.553616578
-61.38378959,0.691891124,0.201015317
52.69397802,-0.258513571,0.186103173
-70.19821613,0.699311024,0.184438151
49.52868253,-0.251157922,0.198187237
40.62230706,-0.070247889,0.185038035
-101.1982161,-0.070688976,0.183947151
-95.68392294,0.761945438,0.339343627
-80.47131747,0.548842078,-0.237278763
-43.79541127,0.108423159,0.579908905
-65.68139456,0.669499025,0.216062467
12.58137943,-0.16230257,0.188443514
-91.53751129,0.667184173,0.214273921
5.524161555,-0.437249929,-0.779194433
-99.33146598,-0.056120555,0.091357914
-55.17733981,-0.044211195,0.120811772
-108.3829762,0.934175522,0.067348474
-123.0425463,0.663651042,1.368455433
-50.27104156,0.49435071,0.42199786
-16.17115505,0.232503341,0.292108028
-27.90869738,0.03294657,0.297914518
-39.16571959,0.113478494,0.341474109
-24.16571959,-0.186521506,-1.183251891
-122.060147,0.40500468,0.115167827
861.1298604,-1.133495255,0.075188494
-1.230581855,-0.230238074,-0.783838069
-91.65267437,0.184327697,1.686303041
-22.8360916,0.178583131,0.322959892
