Move,RPRICE,MPRICE
208.2364827,-0.45876198,-0.967434735
-135.0079069,0.169621243,0.54704693
-92.09712024,0.029769747,0.00409229
1678.569277,-0.976698526,-2.022857184
78.15057935,-0.190608838,-0.14438468
819.7487536,-0.477139613,-1.022442068
98.38986791,-0.592787455,-1.109782643
1899.372607,-0.836388819,-1.430323168
171.9330844,-0.256434778,-0.267524216
-103.6621147,-0.008163771,-0.089723702
-100.2765971,0.030210835,0.005183174
-189.8665377,0.021830174,-0.015543615
-173.5578809,0.062851304,0.085908563
-113.6351462,0.048295419,0.049909403
-167.9433985,0.024476698,-0.008998313
-116.4299143,0.052706293,0.060818239
77.87712465,0.024917786,-0.00790743
-90.2786194,-0.055801212,-0.207539134
-128.3534579,0.032857359,0.011728476
756.2875885,-0.961260466,-1.984676257
-70.25017722,0.213427238,0.854864728
604.6203825,-0.489197012,-1.042705706
-26.08881241,0.000243674,0.128147615
630.0819521,-0.48787375,-1.039433055
-104.4224154,-0.011224599,0.09978464
-136.814623,0.048736506,0.051000287
-181.0713651,0.034621709,0.01609201
-170.0452056,0.05667608,0.070636192
-108.4556694,0.047854331,0.048818519
-109.0460145,0.022271261,-0.014452731
-147.0202594,0.027123223,-0.002453011
-96.4814245,0.04300237,0.036818799
-119.2512464,0.017860387,-0.025361568
46.8260189,-0.167583728,-0.389363408
-71.83358316,0.07089597,0.184658032
-137.6617102,0.009038639,-0.04717924
-94.12247088,0.042120195,0.034637032
-130.8922928,0.016978212,-0.027543335
517.6722972,0.037709321,0.023728196
-57.41143962,-0.252085114,-0.692982351
-166.7888679,0.053588468,0.063000007
8.903284224,0.046972157,0.046636752
406.9527721,-0.029335967,-0.142086116
-99.17923919,-0.19121505,-0.54244041
-127.8399736,0.061086954,0.081545028
-192.5586898,0.028446485,0.00081964
-152.5578809,0.062851304,0.085908563
-173.8661332,0.039032583,0.027000847
-44.42991429,-0.147293707,-0.339182761
-187.7301583,0.107506226,0.275201373
-117.7888679,0.053588468,0.063000007
68.69764784,-0.074641127,-0.206663546
-156.149954,0.005320923,-0.017023144
-59.14782152,0.054470643,0.065181774
511.2867795,-0.500665285,-1.07106868
-149.6775396,0.043470241,0.235054211
-203.9425896,0.058881517,0.07609061
-166.3784041,0.062410216,0.084817679
401.6211915,-0.454792193,-0.957616782
-164.0099292,0.083609196,0.334324622
-129.583636,0.057999342,0.073908843
-171.0971202,0.029769747,0.00409229
-175.6093911,0.053147381,0.061909123
-75.71200705,0.050941943,0.056454705
-54.94380301,0.007274289,-0.211384775
-179.5306898,0.027838169,-0.081187216
-197.3499996,0.27900431,0.445123285
-130.2952579,0.163366218,0.080392768
-162.8340928,0.147487071,0.041120957
-120.8336884,0.16468948,0.083665419
76.96067526,-0.156923804,-0.569568879
-182.9000394,0.231200583,0.36632963
425.3715436,-0.530899646,-1.305206745
-42.52697719,0.301543394,0.698005585
189.9598663,-0.091328622,-0.454644803
-149.8663151,-0.069642151,-0.322272499
-210.1447677,0.283415184,0.456032122
314.7304972,-0.531781821,-1.307388512
-165.4489029,0.350504098,0.819093668
-168.5262449,0.154103382,0.057484212
-165.3721188,0.166012742,0.08693807
-119.9363043,0.162484043,0.078211001
-103.0393247,0.143076196,0.030212121
